a,b,c,lumo,plate_num,fic
0.0,0,0,65000.0,0,0.0
0,0.05,0,65000.0,0,0.125
0,0.1,0,65000.0,0,0.25
0,0.15000000000000002,0,65000.0,0,0.37500000000000006
0,0.2,0,65000.0,0,0.5
0,0.25,0,65000.0,0,0.625
0,0.30000000000000004,0,65000.0,0,0.7500000000000001
0,0.35000000000000003,0,65000.0,0,0.875
0,0.4,0,22125.0,0,1.0
0,0.45,0,20830.0,0,1.125
0,0,0.32,65000.0,0,0.19999999999999998
0,0,0.64,65000.0,0,0.39999999999999997
0,0,0.96,65000.0,0,0.6
0,0,1.28,65000.0,0,0.7999999999999999
0,0,1.6,65000.0,0,1.0
0,0,1.92,20711.0,0,1.2
0,0,2.24,20643.0,0,1.4000000000000001
0.0,0.05,0.32,65000.0,0,0.32499999999999996
0.0,0.1,0.32,65000.0,0,0.44999999999999996
0.0,0.15000000000000002,0.32,65000.0,0,0.5750000000000001
0.0,0.2,0.32,65000.0,0,0.7
0.0,0.25,0.32,65000.0,0,0.825
0.0,0.30000000000000004,0.32,65000.0,0,0.9500000000000001
0.0,0.35000000000000003,0.32,65000.0,0,1.075
0.0,0.4,0.32,20561.0,0,1.2
0.0,0.45,0.32,20291.0,0,1.325
0.0,0.05,0.64,65000.0,0,0.5249999999999999
0.0,0.1,0.64,65000.0,0,0.6499999999999999
0.0,0.15000000000000002,0.64,65000.0,0,0.775
0.0,0.2,0.64,65000.0,0,0.8999999999999999
0.0,0.25,0.64,65000.0,0,1.025
0.0,0.30000000000000004,0.64,65000.0,0,1.1500000000000001
0.0,0.35000000000000003,0.64,65000.0,0,1.275
0.0,0.4,0.64,21753.0,0,1.4
0.0,0.45,0.64,20700.0,0,1.525
0.0,0.05,0.96,65000.0,0,0.725
0.0,0.1,0.96,65000.0,0,0.85
0.0,0.15000000000000002,0.96,65000.0,0,0.9750000000000001
0.0,0.2,0.96,65000.0,0,1.1
0.0,0.25,0.96,65000.0,0,1.225
0.0,0.30000000000000004,0.96,65000.0,0,1.35
0.0,0.35000000000000003,0.96,44532.0,0,1.475
0.0,0.4,0.96,20888.0,0,1.6
0.0,0.45,0.96,20721.0,0,1.725
0.0,0.05,1.28,65000.0,0,0.9249999999999999
0.0,0.1,1.28,65000.0,0,1.0499999999999998
0.0,0.15000000000000002,1.28,65000.0,0,1.175
0.0,0.2,1.28,65000.0,0,1.2999999999999998
0.0,0.25,1.28,65000.0,0,1.4249999999999998
0.0,0.30000000000000004,1.28,65000.0,0,1.55
0.0,0.35000000000000003,1.28,43605.0,0,1.6749999999999998
0.0,0.4,1.28,21801.0,0,1.7999999999999998
0.0,0.45,1.28,20934.0,0,1.9249999999999998
0.0,0.05,1.6,24692.0,0,1.125
0.0,0.1,1.6,21822.0,0,1.25
0.0,0.15000000000000002,1.6,21662.0,0,1.375
0.0,0.2,1.6,21787.0,0,1.5
0.0,0.25,1.6,21487.0,0,1.625
0.0,0.30000000000000004,1.6,20849.0,0,1.75
0.0,0.35000000000000003,1.6,21224.0,0,1.875
0.0,0.4,1.6,20818.0,0,2.0
0.0,0.45,1.6,21448.0,0,2.125
0.0,0.05,1.92,21223.0,0,1.325
0.0,0.1,1.92,20913.0,0,1.45
0.0,0.15000000000000002,1.92,21070.0,0,1.575
0.0,0.2,1.92,21198.0,0,1.7
0.0,0.25,1.92,21418.0,0,1.825
0.0,0.30000000000000004,1.92,21434.0,0,1.9500000000000002
0.0,0.35000000000000003,1.92,21275.0,0,2.075
0.0,0.4,1.92,21324.0,0,2.2
0.0,0.45,1.92,21284.0,0,2.325
0.0,0.05,2.24,21391.0,0,1.5250000000000001
0.0,0.1,2.24,20428.0,0,1.6500000000000001
0.0,0.15000000000000002,2.24,20897.0,0,1.7750000000000001
0.0,0.2,2.24,20625.0,0,1.9000000000000001
0.0,0.25,2.24,21016.0,0,2.0250000000000004
0.0,0.30000000000000004,2.24,20808.0,0,2.1500000000000004
0.0,0.35000000000000003,2.24,20782.0,0,2.2750000000000004
0.0,0.4,2.24,21022.0,0,2.4000000000000004
0.0,0.45,2.24,20994.0,0,2.5250000000000004
3.1,0,0,65000.0,1,0.0496
0,0.05,0,65000.0,1,0.125
0,0.1,0,65000.0,1,0.25
0,0.15000000000000002,0,65000.0,1,0.37500000000000006
0,0.2,0,65000.0,1,0.5
0,0.25,0,65000.0,1,0.625
0,0.30000000000000004,0,65000.0,1,0.7500000000000001
0,0.35000000000000003,0,65000.0,1,0.875
0,0.4,0,20389.0,1,1.0
0,0.45,0,20236.0,1,1.125
0,0,0.32,65000.0,1,0.19999999999999998
0,0,0.64,65000.0,1,0.39999999999999997
0,0,0.96,65000.0,1,0.6
0,0,1.28,65000.0,1,0.7999999999999999
0,0,1.6,22991.0,1,1.0
0,0,1.92,20265.0,1,1.2
0,0,2.24,20023.0,1,1.4000000000000001
3.1,0.05,0.32,65000.0,1,0.3746
3.1,0.1,0.32,65000.0,1,0.49959999999999993
3.1,0.15000000000000002,0.32,65000.0,1,0.6246
3.1,0.2,0.32,65000.0,1,0.7495999999999999
3.1,0.25,0.32,65000.0,1,0.8745999999999999
3.1,0.30000000000000004,0.32,65000.0,1,0.9996
3.1,0.35000000000000003,0.32,32547.0,1,1.1246
3.1,0.4,0.32,20385.0,1,1.2496
3.1,0.45,0.32,20161.0,1,1.3746
3.1,0.05,0.64,65000.0,1,0.5746
3.1,0.1,0.64,65000.0,1,0.6996
3.1,0.15000000000000002,0.64,65000.0,1,0.8246
3.1,0.2,0.64,65000.0,1,0.9496
3.1,0.25,0.64,65000.0,1,1.0746
3.1,0.30000000000000004,0.64,65000.0,1,1.1996
3.1,0.35000000000000003,0.64,65000.0,1,1.3246
3.1,0.4,0.64,21603.0,1,1.4496
3.1,0.45,0.64,20941.0,1,1.5746
3.1,0.05,0.96,65000.0,1,0.7746
3.1,0.1,0.96,65000.0,1,0.8996
3.1,0.15000000000000002,0.96,65000.0,1,1.0246
3.1,0.2,0.96,65000.0,1,1.1496
3.1,0.25,0.96,65000.0,1,1.2746
3.1,0.30000000000000004,0.96,65000.0,1,1.3996
3.1,0.35000000000000003,0.96,65000.0,1,1.5246
3.1,0.4,0.96,20762.0,1,1.6496
3.1,0.45,0.96,20617.0,1,1.7746
3.1,0.05,1.28,65000.0,1,0.9745999999999999
3.1,0.1,1.28,65000.0,1,1.0996
3.1,0.15000000000000002,1.28,65000.0,1,1.2246
3.1,0.2,1.28,65000.0,1,1.3496
3.1,0.25,1.28,36274.0,1,1.4746
3.1,0.30000000000000004,1.28,65000.0,1,1.5996000000000001
3.1,0.35000000000000003,1.28,22260.0,1,1.7246
3.1,0.4,1.28,21741.0,1,1.8496000000000001
3.1,0.45,1.28,21470.0,1,1.9746000000000001
3.1,0.05,1.6,21401.0,1,1.1746
3.1,0.1,1.6,20346.0,1,1.2995999999999999
3.1,0.15000000000000002,1.6,20689.0,1,1.4246
3.1,0.2,1.6,21677.0,1,1.5495999999999999
3.1,0.25,1.6,20710.0,1,1.6745999999999999
3.1,0.30000000000000004,1.6,20468.0,1,1.7996
3.1,0.35000000000000003,1.6,21306.0,1,1.9245999999999999
3.1,0.4,1.6,21053.0,1,2.0496
3.1,0.45,1.6,20730.0,1,2.1746
3.1,0.05,1.92,19661.0,1,1.3746
3.1,0.1,1.92,20016.0,1,1.4996
3.1,0.15000000000000002,1.92,20831.0,1,1.6246
3.1,0.2,1.92,20781.0,1,1.7496
3.1,0.25,1.92,20468.0,1,1.8746
3.1,0.30000000000000004,1.92,20722.0,1,1.9996
3.1,0.35000000000000003,1.92,20968.0,1,2.1246
3.1,0.4,1.92,20594.0,1,2.2496
3.1,0.45,1.92,20648.0,1,2.3746
3.1,0.05,2.24,20355.0,1,1.5746000000000002
3.1,0.1,2.24,20281.0,1,1.6996000000000002
3.1,0.15000000000000002,2.24,20090.0,1,1.8246000000000002
3.1,0.2,2.24,20209.0,1,1.9496000000000002
3.1,0.25,2.24,20439.0,1,2.0746
3.1,0.30000000000000004,2.24,20308.0,1,2.1996
3.1,0.35000000000000003,2.24,20191.0,1,2.3246
3.1,0.4,2.24,20211.0,1,2.4496
3.1,0.45,2.24,20009.0,1,2.5746
7.8,0,0,65000.0,2,0.1248
0,0.05,0,65000.0,2,0.125
0,0.1,0,65000.0,2,0.25
0,0.15000000000000002,0,65000.0,2,0.37500000000000006
0,0.2,0,65000.0,2,0.5
0,0.25,0,65000.0,2,0.625
0,0.30000000000000004,0,65000.0,2,0.7500000000000001
0,0.35000000000000003,0,65000.0,2,0.875
0,0.4,0,20959.0,2,1.0
0,0.45,0,20965.0,2,1.125
0,0,0.32,65000.0,2,0.19999999999999998
0,0,0.64,65000.0,2,0.39999999999999997
0,0,0.96,65000.0,2,0.6
0,0,1.28,65000.0,2,0.7999999999999999
0,0,1.6,65000.0,2,1.0
0,0,1.92,20650.0,2,1.2
0,0,2.24,20390.0,2,1.4000000000000001
7.8,0.05,0.32,65000.0,2,0.4498
7.8,0.1,0.32,65000.0,2,0.5748
7.8,0.15000000000000002,0.32,65000.0,2,0.6998
7.8,0.2,0.32,65000.0,2,0.8248
7.8,0.25,0.32,65000.0,2,0.9498
7.8,0.30000000000000004,0.32,65000.0,2,1.0748000000000002
7.8,0.35000000000000003,0.32,21831.0,2,1.1998
7.8,0.4,0.32,20904.0,2,1.3248
7.8,0.45,0.32,20781.0,2,1.4498
7.8,0.05,0.64,65000.0,2,0.6497999999999999
